Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
CELM,,CEL,LS,F,Feb-66,*,CELM  -,Centre d'Essais de Lancement de Missiles  (former CEL),-,-1.25,44.362,0.002,F,-,-,-
CELPA,,CELPA,LS,AR,1962,1973,CELPA -,Centro de Ensayo y Lanzamiento de Proyectiles Autopropulsados,"Chamical, La Rioja, Argentina",-66.317,-30.13,0.02,AR,-,-,-
CEM,,CERES,LS,F,01-Sep-68,*,CEM   -,"Centre d'Essais de la Mediterranee, Ile du Levant, Var, France",-,6.47,43.05,0.02,F,-,-,-
CERES,,CERES,LS,F,1948,01-Sep-68,CERES -,"Centre d'Essais et de Recherches d'Engins Speciaux, Ile du Levant, Var",-,6.47,43.05,0.02,F,-,-,-
CHAC,,CHAC,LS,AR,12-Nov-66,12-Nov-66,CHAC  -,"Las Palmas, Chaco, Argentina",-,-58.75,-27.13,0.03,CNES,-,-,-
CHAN,,CHAN,LS,IN,1989,*,CHAN  -,"Integrated Test Range, Balasore Range, Chandipur-On-Sea, Orissa, India",-,86.6,21.3,0.05,DRDO,-,-,-
CHEL,,CHEL,LS,SU,1957,1960s,CHEL  -,"SP-5 Tactical missile site, Chelkar, Aktyubinsk",-,59.61,47.85,0.02,RVSN,-,-,-
CHI,,CHI,LS,PE,29-Mar-74,23-Mar-83,CHI   -,"Chilca Launch Range, Lima, Peru",-,-76.8,-12.5,0.02,PE,-,-,-
CHIOHE,,CHIOHE,LS,TW,1999,*,CHIOH -,"Chio He air base, Pingtung, Formosa (Taiwan)   [== JP?]",-,120.5,22.6,0.1,NSPO,-,-,-
CHIHA,,CHIHA,LS,KP,Jul-91,*,CHIHA -,"Chiha-ri, Ich'on, Kangwon do, Choson",-,126.685,38.623,0.1,KPA,-,-,-
